,date_local,county_code,site_number,parameter,sample_duration,pollutant_standard,validity_indicator,arithmetic_mean,first_max_value,aqi,local_site_name,state
0,5/31/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,4.495833,8.4,8,Queens College Near Road,New York
2,5/30/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.520833,22.3,21,Queens College Near Road,New York
4,5/29/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,6.4875,12.3,11,Queens College Near Road,New York
6,5/28/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.161905,16.6,15,Queens College Near Road,New York
8,5/27/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.933333,17.0,16,Queens College Near Road,New York
10,5/26/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.908333,17.2,16,Queens College Near Road,New York
12,5/25/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.425,19.0,18,Queens College Near Road,New York
14,5/24/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,5.258333,13.2,12,Queens College Near Road,New York
16,5/23/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.425,15.8,14,Queens College Near Road,New York
18,5/22/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,11.766667,30.8,28,Queens College Near Road,New York
20,5/21/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,14.104167000000002,31.8,29,Queens College Near Road,New York
22,5/20/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,11.15,23.5,22,Queens College Near Road,New York
24,5/19/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,10.452632000000001,28.7,26,Queens College Near Road,New York
26,5/18/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,13.133332999999999,49.9,46,Queens College Near Road,New York
28,5/17/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,3.5,6.6,6,Queens College Near Road,New York
31,5/15/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,17.8,31.9,29,Queens College Near Road,New York
33,5/16/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.6,19.4,18,Queens College Near Road,New York
34,5/14/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,17.445833,44.2,42,Queens College Near Road,New York
36,5/13/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,16.095454999999998,42.6,40,Queens College Near Road,New York
38,5/12/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.0875,14.5,13,Queens College Near Road,New York
40,5/11/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,12.133333,34.2,32,Queens College Near Road,New York
42,5/10/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,4.8541669999999995,11.5,10,Queens College Near Road,New York
44,5/9/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,5.129167,9.4,8,Queens College Near Road,New York
46,5/8/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,16.004167000000002,27.1,25,Queens College Near Road,New York
48,5/7/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,14.516667000000002,38.3,36,Queens College Near Road,New York
50,5/6/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,18.704167,28.4,26,Queens College Near Road,New York
52,5/5/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,12.866667,28.0,26,Queens College Near Road,New York
54,5/4/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.95,30.7,28,Queens College Near Road,New York
56,5/3/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,6.191667,13.2,12,Queens College Near Road,New York
58,5/2/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.1666669999999995,15.8,14,Queens College Near Road,New York
60,5/1/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,11.029167,22.3,21,Queens College Near Road,New York
62,4/30/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,5.8625,19.4,18,Queens College Near Road,New York
64,4/29/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,16.5875,31.3,29,Queens College Near Road,New York
66,4/28/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,16.305263,28.7,26,Queens College Near Road,New York
68,4/27/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,10.6,16.7,15,Queens College Near Road,New York
70,4/26/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.054167,11.7,10,Queens College Near Road,New York
72,4/25/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,15.970832999999999,34.3,32,Queens College Near Road,New York
74,4/24/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,17.179167,34.8,32,Queens College Near Road,New York
76,4/23/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,18.6875,29.0,27,Queens College Near Road,New York
78,4/22/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.5875,17.2,16,Queens College Near Road,New York
80,4/21/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,11.394444,23.3,22,Queens College Near Road,New York
82,4/20/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,14.5,24.1,23,Queens College Near Road,New York
84,4/19/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,12.883333,34.4,32,Queens College Near Road,New York
85,4/18/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,13.133332999999999,20.2,19,Queens College Near Road,New York
87,4/17/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,11.616667,23.1,22,Queens College Near Road,New York
92,4/15/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,10.972222,17.9,16,Queens College Near Road,New York
94,4/14/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.116667,17.6,16,Queens College Near Road,New York
96,4/13/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,4.683333,8.2,8,Queens College Near Road,New York
98,4/12/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,15.5125,43.3,41,Queens College Near Road,New York
100,4/11/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.225,30.6,28,Queens College Near Road,New York
102,4/10/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,6.575,11.2,10,Queens College Near Road,New York
104,4/9/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.670833,22.7,21,Queens College Near Road,New York
108,4/7/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,11.966667,24.8,23,Queens College Near Road,New York
110,4/6/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,14.516667000000002,32.4,30,Queens College Near Road,New York
112,4/5/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,13.8875,27.6,25,Queens College Near Road,New York
114,4/4/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,6.425,10.9,9,Queens College Near Road,New York
116,4/3/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.966667,13.9,12,Queens College Near Road,New York
119,4/1/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,11.245833,27.0,25,Queens College Near Road,New York
121,4/2/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.0,19.5,18,Queens College Near Road,New York
122,3/31/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,11.004167,25.0,24,Queens College Near Road,New York
124,3/30/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,16.158333,32.9,30,Queens College Near Road,New York
126,3/29/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.429167,9.8,8,Queens College Near Road,New York
128,3/28/2020,81,125,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,14.379167,24.6,23,Queens College Near Road,New York
