,date_local,county_code,site_number,parameter,sample_duration,pollutant_standard,validity_indicator,arithmetic_mean,first_max_value,aqi,local_site_name,state
0,11/29/2020,45,2,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Y,0.027308,0.028999999999999998,27.0,PERCH RIVER,New York
1,11/28/2020,45,2,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Y,0.028429000000000003,0.031,29.0,PERCH RIVER,New York
9,11/27/2020,45,2,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Y,0.018118000000000002,0.02,19.0,PERCH RIVER,New York
13,11/26/2020,45,2,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Y,0.015706,0.021,19.0,PERCH RIVER,New York
17,11/25/2020,45,2,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Y,0.024714,0.027000000000000003,25.0,PERCH RIVER,New York
21,11/24/2020,45,2,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Y,0.027647,0.033,31.0,PERCH RIVER,New York
25,11/23/2020,45,2,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Y,0.018941,0.023,21.0,PERCH RIVER,New York
29,11/22/2020,45,2,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Y,0.018643,0.02,19.0,PERCH RIVER,New York
33,11/21/2020,45,2,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Y,0.020412,0.023,21.0,PERCH RIVER,New York
37,11/20/2020,45,2,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Y,0.034941,0.039,36.0,PERCH RIVER,New York
41,11/19/2020,45,2,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Y,0.033643,0.034,31.0,PERCH RIVER,New York
45,11/18/2020,45,2,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Y,0.026647000000000004,0.033,31.0,PERCH RIVER,New York
