,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
0,36,81,125,42602,1,40.739264,-73.817694,NAD83,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,5/31/2020,Parts per billion,None,24,100,Y,4.495833,8.4,21,8,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Queens College Near Road,"I-495, H Harding Expwy and 153rd St",New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/22/2021
1,36,81,125,42602,1,40.739264,-73.817694,NAD83,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,5/31/2020,Parts per billion,None,24,100,Y,4.495833,8.4,21,8,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Queens College Near Road,"I-495, H Harding Expwy and 153rd St",New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/22/2021
2,36,81,125,42602,1,40.739264,-73.817694,NAD83,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,5/30/2020,Parts per billion,None,24,100,Y,8.520833,22.3,4,21,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Queens College Near Road,"I-495, H Harding Expwy and 153rd St",New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/22/2021
3,36,81,125,42602,1,40.739264,-73.817694,NAD83,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,5/30/2020,Parts per billion,None,24,100,Y,8.520833,22.3,4,21,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Queens College Near Road,"I-495, H Harding Expwy and 153rd St",New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/22/2021
4,36,81,125,42602,1,40.739264,-73.817694,NAD83,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,5/29/2020,Parts per billion,None,24,100,Y,6.4875,12.3,23,11,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Queens College Near Road,"I-495, H Harding Expwy and 153rd St",New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/22/2021
5,36,81,125,42602,1,40.739264,-73.817694,NAD83,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,5/29/2020,Parts per billion,None,24,100,Y,6.4875,12.3,23,11,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Queens College Near Road,"I-495, H Harding Expwy and 153rd St",New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/22/2021
6,36,81,125,42602,1,40.739264,-73.817694,NAD83,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,5/28/2020,Parts per billion,None,21,88,Y,8.161905,16.6,3,15,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Queens College Near Road,"I-495, H Harding Expwy and 153rd St",New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/22/2021
7,36,81,125,42602,1,40.739264,-73.817694,NAD83,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,5/28/2020,Parts per billion,None,21,88,Y,8.161905,16.6,3,15,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Queens College Near Road,"I-495, H Harding Expwy and 153rd St",New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/22/2021
8,36,81,125,42602,1,40.739264,-73.817694,NAD83,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,5/27/2020,Parts per billion,None,24,100,Y,7.933333,17,0,16,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Queens College Near Road,"I-495, H Harding Expwy and 153rd St",New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/22/2021
9,36,81,125,42602,1,40.739264,-73.817694,NAD83,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,5/27/2020,Parts per billion,None,24,100,Y,7.933333,17,0,16,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Queens College Near Road,"I-495, H Harding Expwy and 153rd St",New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/22/2021
