,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
0,36,001,0012,42101,1,42.68075,-73.75733,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2019-01-01,Parts per million,None,24,100.0,Y,0.220833,0.3,7,,054,INSTRUMENTAL - NONDISPERSIVE INFRARED,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2020-12-09
1,36,001,0012,42101,1,42.68075,-73.75733,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2019-01-01,Parts per million,None,19,79.0,Y,0.231579,0.3,10,3.0,054,INSTRUMENTAL - NONDISPERSIVE INFRARED,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2020-12-09
2,36,001,0012,42101,1,42.68075,-73.75733,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2019-01-02,Parts per million,None,22,92.0,Y,0.209091,0.3,8,,054,INSTRUMENTAL - NONDISPERSIVE INFRARED,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2020-12-09
3,36,001,0012,42101,1,42.68075,-73.75733,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2019-01-02,Parts per million,None,24,100.0,Y,0.2,0.2,0,2.0,054,INSTRUMENTAL - NONDISPERSIVE INFRARED,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2020-12-09
4,36,001,0012,42101,1,42.68075,-73.75733,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2019-01-03,Parts per million,None,24,100.0,Y,0.204167,0.3,9,,054,INSTRUMENTAL - NONDISPERSIVE INFRARED,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2020-12-09
5,36,001,0012,42101,1,42.68075,-73.75733,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2019-01-03,Parts per million,None,24,100.0,Y,0.2,0.2,0,2.0,054,INSTRUMENTAL - NONDISPERSIVE INFRARED,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2020-12-09
6,36,001,0012,42101,1,42.68075,-73.75733,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2019-01-04,Parts per million,None,24,100.0,Y,0.216667,0.3,16,,054,INSTRUMENTAL - NONDISPERSIVE INFRARED,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2020-12-09
7,36,001,0012,42101,1,42.68075,-73.75733,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2019-01-04,Parts per million,None,24,100.0,Y,0.216667,0.3,20,3.0,054,INSTRUMENTAL - NONDISPERSIVE INFRARED,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2020-12-09
8,36,001,0012,42101,1,42.68075,-73.75733,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2019-01-05,Parts per million,None,24,100.0,Y,0.279167,0.4,7,,054,INSTRUMENTAL - NONDISPERSIVE INFRARED,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2020-12-09
9,36,001,0012,42101,1,42.68075,-73.75733,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2019-01-05,Parts per million,None,24,100.0,Y,0.275,0.3,6,3.0,054,INSTRUMENTAL - NONDISPERSIVE INFRARED,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2020-12-09
10,36,001,0012,42101,1,42.68075,-73.75733,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2019-01-06,Parts per million,None,24,100.0,Y,0.204167,0.3,8,,054,INSTRUMENTAL - NONDISPERSIVE INFRARED,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2020-12-09
11,36,001,0012,42101,1,42.68075,-73.75733,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2019-01-06,Parts per million,None,24,100.0,Y,0.2,0.2,0,2.0,054,INSTRUMENTAL - NONDISPERSIVE INFRARED,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2020-12-09
12,36,001,0012,42101,1,42.68075,-73.75733,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2019-01-07,Parts per million,None,21,88.0,Y,0.161905,0.2,0,,054,INSTRUMENTAL - NONDISPERSIVE INFRARED,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2020-12-09
13,36,001,0012,42101,1,42.68075,-73.75733,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2019-01-07,Parts per million,None,18,75.0,Y,0.177778,0.2,0,2.0,054,INSTRUMENTAL - NONDISPERSIVE INFRARED,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2020-12-09
