,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
0,36,005,0110,42602,1,40.816,-73.902,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019-01-01,Parts per billion,None,24,100.0,Y,13.570833,36.5,1,34,074,INSTRUMENTAL - CHEMILUMINESCENCE,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-12
1,36,005,0110,42602,1,40.816,-73.902,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019-01-01,Parts per billion,None,24,100.0,Y,13.570833,36.5,1,34,074,INSTRUMENTAL - CHEMILUMINESCENCE,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-12
2,36,005,0110,42602,1,40.816,-73.902,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019-01-02,Parts per billion,None,24,100.0,Y,18.7375,30.5,17,28,074,INSTRUMENTAL - CHEMILUMINESCENCE,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-12
3,36,005,0110,42602,1,40.816,-73.902,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019-01-02,Parts per billion,None,24,100.0,Y,18.7375,30.5,17,28,074,INSTRUMENTAL - CHEMILUMINESCENCE,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-12
4,36,005,0110,42602,1,40.816,-73.902,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019-01-03,Parts per billion,None,20,83.0,Y,24.2,37.6,6,35,074,INSTRUMENTAL - CHEMILUMINESCENCE,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-12
5,36,005,0110,42602,1,40.816,-73.902,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019-01-03,Parts per billion,None,20,83.0,Y,24.2,37.6,6,35,074,INSTRUMENTAL - CHEMILUMINESCENCE,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-12
6,36,005,0110,42602,1,40.816,-73.902,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019-01-04,Parts per billion,None,24,100.0,Y,27.35,31.9,17,29,074,INSTRUMENTAL - CHEMILUMINESCENCE,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-12
7,36,005,0110,42602,1,40.816,-73.902,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019-01-04,Parts per billion,None,24,100.0,Y,27.35,31.9,17,29,074,INSTRUMENTAL - CHEMILUMINESCENCE,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-12
8,36,005,0110,42602,1,40.816,-73.902,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019-01-05,Parts per billion,None,24,100.0,Y,18.345833,31.3,0,29,074,INSTRUMENTAL - CHEMILUMINESCENCE,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-12
9,36,005,0110,42602,1,40.816,-73.902,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019-01-05,Parts per billion,None,24,100.0,Y,18.345833,31.3,0,29,074,INSTRUMENTAL - CHEMILUMINESCENCE,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-12
