,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
0,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-01,Degrees Fahrenheit,None,24,100.0,Y,34.5,54.0,0,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
1,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-02,Degrees Fahrenheit,None,24,100.0,Y,28.625,36.0,23,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
2,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-03,Degrees Fahrenheit,None,24,100.0,Y,31.583333,35.0,0,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
3,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-04,Degrees Fahrenheit,None,24,100.0,Y,36.666667,47.0,14,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
4,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-05,Degrees Fahrenheit,None,24,100.0,Y,31.75,38.0,22,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
5,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-06,Degrees Fahrenheit,None,24,100.0,Y,32.0,37.0,0,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
6,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-07,Degrees Fahrenheit,None,24,100.0,Y,28.875,37.0,19,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
7,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-08,Degrees Fahrenheit,None,24,100.0,Y,41.166667,46.0,5,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
8,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-09,Degrees Fahrenheit,None,24,100.0,Y,29.291667,35.0,0,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
9,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-10,Degrees Fahrenheit,None,24,100.0,Y,21.875,25.0,0,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
10,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-11,Degrees Fahrenheit,None,24,100.0,Y,17.166667,20.0,14,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
11,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-12,Degrees Fahrenheit,None,24,100.0,Y,21.166667,24.0,12,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
12,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-13,Degrees Fahrenheit,None,24,100.0,Y,19.75,26.0,14,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
13,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-14,Degrees Fahrenheit,None,23,96.0,Y,19.0,26.0,12,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
14,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-15,Degrees Fahrenheit,None,23,96.0,Y,24.869565,27.0,16,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
15,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-16,Degrees Fahrenheit,None,24,100.0,Y,24.833333,30.0,10,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
16,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-17,Degrees Fahrenheit,None,24,100.0,Y,21.0,29.0,19,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
17,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-18,Degrees Fahrenheit,None,24,100.0,Y,28.083333,30.0,6,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
18,36,013,0006,62101,1,42.49963,-79.31881,WGS84,Outdoor Temperature,1 HOUR,,2019-01-19,Degrees Fahrenheit,None,24,100.0,Y,18.791667,24.0,0,,040,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,DUNKIRK,"STP,  Wright Park Drive,  DUNKIRK",New York,Chautauqua,Dunkirk,27460,"Jamestown-Dunkirk-Fredonia, NY",2020-02-04
