,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
0,36,101,0003,62201,2,42.09142,-77.20978,WGS84,Relative Humidity ,1 HOUR,,2020-11-23,Percent relative humidity,None,1,4.0,N,66.0,66.0,14,,011,INSTRUMENTAL - HYGROTHERMOGRAPH ELEC OR MACH AVG,PINNACLE STATE PARK,"8301 ACKERSON ROAD, Pinnacle State Park",New York,Steuben,Not in a city,18500,"Corning, NY",2020-12-31
1,36,101,0003,62201,2,42.09142,-77.20978,WGS84,Relative Humidity ,1 HOUR,,2020-11-16,Percent relative humidity,None,10,42.0,N,60.6,68.0,7,,011,INSTRUMENTAL - HYGROTHERMOGRAPH ELEC OR MACH AVG,PINNACLE STATE PARK,"8301 ACKERSON ROAD, Pinnacle State Park",New York,Steuben,Not in a city,18500,"Corning, NY",2020-12-31
2,36,101,0003,62201,2,42.09142,-77.20978,WGS84,Relative Humidity ,1 HOUR,,2020-11-15,Percent relative humidity,None,20,83.0,Y,73.1,96.0,16,,011,INSTRUMENTAL - HYGROTHERMOGRAPH ELEC OR MACH AVG,PINNACLE STATE PARK,"8301 ACKERSON ROAD, Pinnacle State Park",New York,Steuben,Not in a city,18500,"Corning, NY",2020-12-31
3,36,101,0003,62201,2,42.09142,-77.20978,WGS84,Relative Humidity ,1 HOUR,,2020-11-14,Percent relative humidity,None,24,100.0,Y,65.041667,81.0,6,,011,INSTRUMENTAL - HYGROTHERMOGRAPH ELEC OR MACH AVG,PINNACLE STATE PARK,"8301 ACKERSON ROAD, Pinnacle State Park",New York,Steuben,Not in a city,18500,"Corning, NY",2020-12-31
4,36,101,0003,62201,2,42.09142,-77.20978,WGS84,Relative Humidity ,1 HOUR,,2020-11-13,Percent relative humidity,None,24,100.0,Y,78.666667,98.0,8,,011,INSTRUMENTAL - HYGROTHERMOGRAPH ELEC OR MACH AVG,PINNACLE STATE PARK,"8301 ACKERSON ROAD, Pinnacle State Park",New York,Steuben,Not in a city,18500,"Corning, NY",2020-12-31
5,36,101,0003,62201,2,42.09142,-77.20978,WGS84,Relative Humidity ,1 HOUR,,2020-11-12,Percent relative humidity,None,24,100.0,Y,79.75,95.0,23,,011,INSTRUMENTAL - HYGROTHERMOGRAPH ELEC OR MACH AVG,PINNACLE STATE PARK,"8301 ACKERSON ROAD, Pinnacle State Park",New York,Steuben,Not in a city,18500,"Corning, NY",2020-12-31
6,36,101,0003,62201,2,42.09142,-77.20978,WGS84,Relative Humidity ,1 HOUR,,2020-11-11,Percent relative humidity,None,24,100.0,Y,90.541667,97.0,8,,011,INSTRUMENTAL - HYGROTHERMOGRAPH ELEC OR MACH AVG,PINNACLE STATE PARK,"8301 ACKERSON ROAD, Pinnacle State Park",New York,Steuben,Not in a city,18500,"Corning, NY",2020-12-31
7,36,101,0003,62201,2,42.09142,-77.20978,WGS84,Relative Humidity ,1 HOUR,,2020-11-10,Percent relative humidity,None,24,100.0,Y,71.25,93.0,6,,011,INSTRUMENTAL - HYGROTHERMOGRAPH ELEC OR MACH AVG,PINNACLE STATE PARK,"8301 ACKERSON ROAD, Pinnacle State Park",New York,Steuben,Not in a city,18500,"Corning, NY",2020-12-31
8,36,101,0003,62201,2,42.09142,-77.20978,WGS84,Relative Humidity ,1 HOUR,,2020-11-09,Percent relative humidity,None,24,100.0,Y,54.0,77.0,23,,011,INSTRUMENTAL - HYGROTHERMOGRAPH ELEC OR MACH AVG,PINNACLE STATE PARK,"8301 ACKERSON ROAD, Pinnacle State Park",New York,Steuben,Not in a city,18500,"Corning, NY",2020-12-31
9,36,101,0003,62201,2,42.09142,-77.20978,WGS84,Relative Humidity ,1 HOUR,,2020-11-08,Percent relative humidity,None,24,100.0,Y,49.25,75.0,6,,011,INSTRUMENTAL - HYGROTHERMOGRAPH ELEC OR MACH AVG,PINNACLE STATE PARK,"8301 ACKERSON ROAD, Pinnacle State Park",New York,Steuben,Not in a city,18500,"Corning, NY",2020-12-31
