,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
0,36,5,133,42101,1,40.8679,-73.87809,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,12/31/2020,Parts per million,None,24,100,Y,0.258333,0.4,11,5,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/21/2021
1,36,5,133,42101,1,40.8679,-73.87809,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,12/31/2020,Parts per million,None,24,100,Y,0.264042,0.441,6,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/21/2021
2,36,5,133,42101,1,40.8679,-73.87809,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,12/30/2020,Parts per million,None,24,100,Y,0.275,0.4,13,5,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/21/2021
3,36,5,133,42101,1,40.8679,-73.87809,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,12/30/2020,Parts per million,None,24,100,Y,0.267292,0.557,8,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/21/2021
4,36,5,133,42101,1,40.8679,-73.87809,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,12/29/2020,Parts per million,None,24,100,Y,0.225,0.4,0,5,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/21/2021
5,36,5,133,42101,1,40.8679,-73.87809,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,12/29/2020,Parts per million,None,24,100,Y,0.180833,0.246,7,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/21/2021
6,36,5,133,42101,1,40.8679,-73.87809,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,12/28/2020,Parts per million,None,17,71,Y,0.394118,0.5,20,6,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/21/2021
7,36,5,133,42101,1,40.8679,-73.87809,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,12/28/2020,Parts per million,None,20,83,Y,0.37155,0.68,18,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/21/2021
8,36,5,133,42101,1,40.8679,-73.87809,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,12/27/2020,Parts per million,None,24,100,Y,0.295833,0.4,23,5,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/21/2021
9,36,5,133,42101,1,40.8679,-73.87809,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,12/27/2020,Parts per million,None,24,100,Y,0.296708,0.547,21,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",1/21/2021
